年月,隧道和大桥类别,行驶方向,日期,星期,时段,时刻,私家车的士电单车,单层巴士小巴5.5公吨及以下货车,双层巴士及5.5公吨以上货车,车流量
201405,TLT,SB,2014/5/20,2,8 AM,08,2076,707,985,3768
201405,SMT,WB,2014/5/2,5,8 AM,08,1466,495,284,2245
201405,LTL,WB,,,N.A.,N.A.,,,,
201405,CHT,NB,2014/5/15,4,11 PM,23,2505,328,188,3021
201405,WHC,NB,2014/5/30,5,6 PM,18,2748,673,232,3653
201405,LRT,SB,2014/5/20,2,7 AM,07,2252,475,407,3134
201405,TCT,NB,2014/5/27,2,6 PM,18,2168,399,239,2806
201405,ABT,SB,2014/5/26,1,7 AM,07,1726,298,400,2424
201405,KTT,EB,2014/5/15,4,9 AM,09,,,,1828
201405,EHC,NB,2014/5/2,5,6 PM,18,2481,502,172,3155
201405,WHC,SB,2014/5/12,1,8 AM,08,2683,631,384,3698
201405,LRT,NB,2014/5/7,3,6 PM,18,2191,483,323,2997
201405,LTL,EB,2014/5/30,5,6 PM,18,2412,491,339,3242
201405,CHT,SB,2014/5/18,7,9 AM,09,2201,684,238,3123
201405,TKOT,EB,2014/5/22,4,6 PM,18,2586,581,264,3431
201405,TLT,NB,2014/5/30,5,6 PM,18,1618,500,634,2752
201405,ABT,NB,2014/5/30,5,7 AM,07,1548,446,449,2443
201405,TSCA,NB,2014/5/7,3,6 PM,18,1901,357,260,2518
201406,ABT,SB,2014/6/3,2,7 AM,07,1635,283,425,2343
201406,LRT,SB,2014/6/5,4,7 AM,07,2306,428,386,3120
201406,SMT,WB,2014/6/13,5,8 AM,08,1478,529,330,2337
201406,TLT,NB,2014/6/18,3,7 PM,19,1721,506,520,2747
201406,KTT,WB,2014/6/28,6,9 AM,09,,,,2459
201406,TCT,SB,2014/6/4,3,7 AM,07,2400,308,245,2953
201406,EHC,SB,2014/6/18,3,10 AM,10,2134,832,290,3256
201406,TSCA,SB,2014/6/20,5,8 AM,08,2546,462,314,3322
201406,TSCA,NB,2014/6/18,3,6 PM,18,2178,365,229,2772
201406,SMT,EB,2014/6/25,3,6 PM,18,1597,421,257,2275
201406,LRT,NB,2014/6/17,2,6 PM,18,2143,571,289,3003
201406,TCT,NB,2014/6/11,3,6 PM,18,2232,340,246,2818
201406,CHT,NB,2014/6/18,3,11 PM,23,2515,330,193,3038
201406,LTL,EB,2014/6/27,5,6 PM,18,2617,510,341,3468
201406,TKOT,EB,2014/6/23,1,6 PM,18,2622,519,283,3424
201406,WHC,NB,2014/6/20,5,6 PM,18,2803,668,224,3695
201406,CHT,SB,2014/6/25,3,10 PM,22,2556,322,212,3090
201406,WHC,SB,2014/6/23,1,8 AM,08,2706,647,380,3733
201406,ABT,NB,2014/6/9,1,7 AM,07,1736,316,373,2425
201406,EHC,NB,2014/6/12,4,6 PM,18,2523,460,201,3184
201406,LTL,WB,,,N.A.,N.A.,,,,
201406,TKOT,WB,2014/6/13,5,7 AM,07,2501,514,228,3243
201406,TLT,SB,2014/6/9,1,8 AM,08,2153,661,895,3709
201406,KTT,EB,2014/6/24,2,9 AM,09,,,,1805
201407,KTT,WB,2014/7/19,6,9 AM,09,,,,2413
201407,CHT,SB,2014/7/2,3,10 PM,22,2546,316,219,3081
201407,LTL,WB,,,N.A.,N.A.,,,,
201407,SMT,WB,2014/7/10,4,8 AM,08,1464,456,307,2227
201407,TKOT,WB,2014/7/24,4,8 AM,08,2401,504,278,3183
201407,WHC,NB,2014/7/25,5,6 PM,18,2714,654,218,3586
201407,TKOT,EB,2014/7/2,3,6 PM,18,2548,592,262,3402
201407,TLT,NB,2014/7/21,1,6 PM,18,1863,620,655,3138
201407,LTL,EB,2014/7/11,5,6 PM,18,2460,463,344,3267
201407,KTT,EB,2014/7/10,4,9 AM,09,,,,1842
201407,CHT,NB,2014/7/2,3,10 PM,22,2462,326,188,2976
201407,WHC,SB,2014/7/7,1,8 AM,08,2541,616,406,3563
201407,SMT,EB,2014/7/25,5,6 PM,18,1433,455,287,2175
201407,LRT,SB,2014/7/11,5,6 PM,18,2474,328,239,3041
201407,LRT,NB,2014/7/4,5,6 PM,18,2287,422,291,3000
201407,EHC,NB,2014/7/11,5,6 PM,18,2465,480,197,3142
201407,TCT,SB,2014/7/29,2,8 AM,08,2214,379,372,2965
201407,ABT,NB,2014/7/2,3,7 AM,07,1288,387,468,2143
201407,TSCA,SB,2014/7/11,5,8 AM,08,2421,436,303,3160
201407,TLT,SB,2014/7/4,5,8 AM,08,2096,706,1004,3806
201407,ABT,SB,2014/7/28,1,10 AM,10,1329,494,564,2387
201407,TCT,NB,2014/7/9,3,6 PM,18,2219,365,261,2845
201407,EHC,SB,2014/7/31,4,9 AM,09,2175,742,275,3192
201407,TSCA,NB,2014/7/16,3,6 PM,18,1908,346,257,2511
201408,KTT,EB,2014/8/7,4,9 AM,09,,,,1839
201408,WHC,SB,2014/8/19,2,8 AM,08,2562,655,379,3596
201408,TSCA,SB,2014/8/21,4,8 AM,08,2469,417,297,3183
201408,SMT,WB,2014/8/29,5,8 AM,08,1467,413,319,2199
201408,LRT,SB,2014/8/8,5,6 PM,18,2366,444,258,3068
201408,TKOT,WB,2014/8/26,2,8 AM,08,2425,453,334,3212
201408,TLT,SB,2014/8/22,5,8 AM,08,2036,657,969,3662
201408,ABT,SB,2014/8/22,5,10 AM,10,1604,421,423,2448
201408,TCT,SB,2014/8/12,2,8 AM,08,2251,337,390,2978
201408,TLT,NB,2014/8/7,4,7 PM,19,1908,523,494,2925
201408,EHC,NB,2014/8/22,5,6 PM,18,2491,495,190,3176
201408,ABT,NB,2014/8/29,5,7 AM,07,1543,299,402,2244
201408,TCT,NB,2014/8/29,5,7 PM,19,2186,340,272,2798
201408,CHT,NB,2014/8/28,4,11 PM,23,2526,279,189,2994
201408,CHT,SB,2014/8/24,7,10 AM,10,2252,647,203,3102
201408,LTL,EB,2014/8/15,5,6 PM,18,2516,538,347,3401
201408,WHC,NB,2014/8/29,5,6 PM,18,2762,734,253,3749
201408,TKOT,EB,2014/8/27,3,6 PM,18,2670,530,223,3423
201408,TSCA,NB,2014/8/19,2,6 PM,18,1970,400,243,2613
201408,LTL,WB,,,N.A.,N.A.,,,,
201408,SMT,EB,2014/8/22,5,6 PM,18,1494,458,242,2194
201408,EHC,SB,2014/8/29,5,10 AM,10,2213,783,290,3286
201408,KTT,WB,2014/8/16,6,9 AM,09,,,,2410
201408,LRT,NB,2014/8/22,5,6 PM,18,2226,494,276,2996
201409,TLT,SB,2014/9/2,2,8 AM,08,2320,849,1005,4174
201409,TKOT,EB,2014/9/18,4,6 PM,18,2694,502,284,3480
201409,WHC,NB,2014/9/26,5,6 PM,18,2998,682,203,3883
201409,EHC,SB,2014/9/19,5,9 AM,09,2208,735,286,3229
201409,TLT,NB,2014/9/8,1,6 PM,18,2444,435,317,3196
201409,EHC,NB,2014/9/3,3,6 PM,18,2460,508,190,3158
201409,TCT,SB,2014/9/22,1,7 AM,07,2501,323,225,3049
201409,TKOT,WB,2014/9/24,3,7 AM,07,2501,564,225,3290
201409,ABT,SB,2014/9/8,1,6 PM,18,1690,385,321,2396
201409,TSCA,SB,2014/9/10,3,8 AM,08,2684,437,264,3385
201409,CHT,NB,2014/9/18,4,11 PM,23,2530,295,191,3016
201409,ABT,NB,2014/9/11,4,7 AM,07,1701,337,358,2396
201409,WHC,SB,2014/9/26,5,8 AM,08,2754,644,414,3812
201409,KTT,EB,2014/9/15,1,9 AM,09,,,,1805
201409,SMT,EB,2014/9/30,2,6 PM,18,1557,446,247,2250
201409,TSCA,NB,2014/9/8,1,6 PM,18,2541,295,142,2978
201409,CHT,SB,2014/9/21,7,10 AM,10,2306,571,201,3078
201409,LTL,WB,,,N.A.,N.A.,,,,
201409,KTT,WB,2014/9/27,6,9 AM,09,,,,2502
201409,LTL,EB,2014/9/19,5,6 PM,18,2627,547,390,3564
201409,LRT,SB,2014/9/24,3,7 AM,07,2267,515,353,3135
201409,TCT,NB,2014/9/8,1,6 PM,18,2455,271,154,2880
201409,SMT,WB,2014/9/23,2,8 AM,08,1561,471,268,2300
201409,LRT,NB,2014/9/2,2,6 PM,18,2241,448,301,2990
201410,CHT,NB,2014/10/29,3,11 PM,23,2575,262,201,3038
201410,TLT,SB,2014/10/22,3,8 AM,08,1932,641,1033,3606
201410,ABT,SB,2014/10/30,4,7 AM,07,1622,371,424,2417
201410,WHC,SB,2014/10/30,4,8 AM,08,1869,616,412,2897
201410,LRT,SB,2014/10/15,3,7 AM,07,2298,451,382,3131
201410,TSCA,SB,2014/10/28,2,8 AM,08,2532,511,337,3380
201410,ABT,NB,2014/10/17,5,7 AM,07,1698,321,344,2363
201410,KTT,EB,2014/10/20,1,9 AM,09,,,,1845
201410,WHC,NB,2014/10/31,5,6 PM,18,2206,658,204,3068
201410,TCT,NB,2014/10/10,5,6 PM,18,2278,381,287,2946
201410,TSCA,NB,2014/10/8,3,6 PM,18,2198,395,222,2815
201410,SMT,WB,2014/10/10,5,8 AM,08,1541,472,260,2273
201410,CHT,SB,2014/10/17,5,7 AM,07,2010,755,353,3118
201410,TLT,NB,2014/10/13,1,7 PM,19,2037,603,546,3186
201410,TKOT,EB,2014/10/27,1,6 PM,18,2689,564,202,3455
201410,LTL,EB,2014/10/24,5,6 PM,18,2666,533,328,3527
201410,LRT,NB,2014/10/21,2,6 PM,18,2173,502,310,2985
201410,TCT,SB,2014/10/28,2,7 AM,07,2455,311,268,3034
201410,SMT,EB,2014/10/10,5,6 PM,18,1538,413,244,2195
201410,TKOT,WB,2014/10/31,5,7 AM,07,2541,531,205,3277
201410,EHC,SB,2014/10/17,5,9 AM,09,2039,798,267,3104
201410,EHC,NB,2014/10/31,5,6 PM,18,2484,506,159,3149
201410,LTL,WB,,,N.A.,N.A.,,,,
201410,KTT,WB,2014/10/11,6,9 AM,09,,,,2503
201411,TCT,SB,2014/11/26,3,7 AM,07,2468,307,265,3040
201411,SMT,WB,2014/11/14,5,8 AM,08,1539,454,320,2313
201411,CHT,NB,2014/11/19,3,11 PM,23,2515,312,197,3024
201411,KTT,WB,2014/11/21,5,9 AM,09,,,,2463
201411,LRT,SB,2014/11/5,3,7 AM,07,2373,381,386,3140
201411,ABT,SB,2014/11/3,1,7 AM,07,1759,263,373,2395
201411,TKOT,EB,2014/11/17,1,6 PM,18,2715,536,235,3486
201411,LRT,NB,2014/11/29,6,4 PM,16,2213,463,321,2997
201411,EHC,SB,2014/11/19,3,9 AM,09,2080,797,276,3153
201411,WHC,SB,2014/11/24,1,8 AM,08,2058,604,384,3046
201411,LTL,EB,2014/11/21,5,6 PM,18,2630,481,381,3492
201411,SMT,EB,2014/11/21,5,6 PM,18,1442,515,272,2229
201411,TLT,NB,2014/11/7,5,7 PM,19,1722,495,501,2718
201411,TKOT,WB,2014/11/19,3,7 AM,07,2531,549,233,3313
201411,CHT,SB,2014/11/19,3,7 AM,07,1973,789,352,3114
201411,EHC,NB,2014/11/14,5,6 PM,18,2433,559,186,3178
201411,TSCA,SB,2014/11/19,3,8 AM,08,2601,473,323,3397
201411,TCT,NB,2014/11/10,1,6 PM,18,2331,363,250,2944
201411,TLT,SB,2014/11/24,1,8 AM,08,2127,645,914,3686
201411,LTL,WB,,,N.A.,N.A.,,,,
201411,WHC,NB,2014/11/28,5,6 PM,18,2332,656,200,3188
201411,TSCA,NB,2014/11/24,1,6 PM,18,2063,388,227,2678
201411,ABT,NB,2014/11/18,2,7 AM,07,1710,327,339,2376
201411,KTT,EB,2014/11/13,4,9 AM,09,,,,1771
201412,LRT,SB,2014/12/11,4,7 AM,07,2370,410,370,3150
201412,TLT,SB,2014/12/15,1,8 AM,08,2392,793,981,4166
201412,ABT,NB,2014/12/12,5,7 AM,07,1763,306,384,2453
201412,EHC,SB,2014/12/15,1,9 AM,09,2184,781,276,3241
201412,TCT,NB,2014/12/15,1,6 PM,18,2300,371,259,2930
201412,CHT,SB,2014/12/14,7,9 AM,09,2183,716,211,3110
201412,TLT,NB,2014/12/19,5,7 PM,19,1964,593,605,3162
201412,LRT,NB,2014/12/15,1,5 PM,17,2012,673,331,3016
201412,TCT,SB,2014/12/22,1,8 AM,08,2341,349,354,3044
201412,TSCA,SB,2014/12/15,1,8 AM,08,2648,442,332,3422
201412,EHC,NB,2014/12/10,3,6 PM,18,2496,547,193,3236
201412,TKOT,WB,2014/12/9,2,7 AM,07,2537,572,235,3344
201412,KTT,WB,2014/12/27,6,9 AM,09,,,,2463
201412,KTT,EB,2014/12/16,2,9 AM,09,,,,1803
201412,LTL,WB,,,N.A.,N.A.,,,,
201412,LTL,EB,2014/12/17,3,6 PM,18,2630,493,357,3480
201412,SMT,EB,2014/12/8,1,6 PM,18,1550,444,253,2247
201412,ABT,SB,2014/12/3,3,7 AM,07,1706,327,368,2401
201412,WHC,SB,2014/12/19,5,8 AM,08,2470,605,434,3509
201412,WHC,NB,2014/12/12,5,6 PM,18,2873,779,235,3887
201412,TSCA,NB,2014/12/22,1,6 PM,18,2303,291,173,2767
201412,TKOT,EB,2014/12/8,1,6 PM,18,2344,881,226,3451
201412,CHT,NB,2014/12/9,2,10 PM,22,2511,341,186,3038
201412,SMT,WB,2014/12/9,2,8 AM,08,1531,478,307,2316
201501,EHC,NB,2015/1/16,5,6 PM,18,2554,468,156,3178
201501,TLT,SB,2015/1/12,1,8 AM,08,2308,656,871,3835
201501,CHT,NB,2015/1/28,3,11 PM,23,2559,307,184,3050
201501,TCT,SB,2015/1/27,2,7 AM,07,2479,312,253,3044
201501,TKOT,WB,2015/1/22,4,7 AM,07,2590,530,224,3344
201501,TLT,NB,2015/1/12,1,6 PM,18,1649,492,528,2669
201501,KTT,EB,2015/1/22,4,9 AM,09,,,,1842
201501,WHC,SB,2015/1/19,1,8 AM,08,2677,630,399,3706
201501,ABT,SB,2015/1/29,4,7 AM,07,1702,297,452,2451
201501,LRT,SB,2015/1/21,3,7 AM,07,2331,438,408,3177
201501,LRT,NB,2015/1/16,5,5 PM,17,2047,568,401,3016
201501,SMT,WB,2015/1/9,5,8 AM,08,1541,497,286,2324
201501,TCT,NB,2015/1/23,5,6 PM,18,2278,363,258,2899
201501,LTL,WB,,,N.A.,N.A.,,,,
201501,CHT,SB,2015/1/24,6,10 AM,10,1700,1030,404,3134
201501,TSCA,SB,2015/1/12,1,8 AM,08,2789,406,272,3467
201501,WHC,NB,2015/1/30,5,6 PM,18,2992,655,221,3868
201501,ABT,NB,2015/1/20,2,7 AM,07,1651,372,397,2420
201501,TSCA,NB,2015/1/5,1,6 PM,18,2150,361,210,2721
201501,TKOT,EB,2015/1/6,2,7 PM,19,2685,583,167,3435
201501,SMT,EB,2015/1/16,5,6 PM,18,1488,457,303,2248
201501,KTT,WB,2015/1/24,6,9 AM,09,,,,2488
201501,LTL,EB,2015/1/30,5,6 PM,18,2619,501,377,3497
201501,EHC,SB,2015/1/12,1,9 AM,09,2164,744,298,3206
201502,KTT,EB,2015/2/10,2,9 AM,09,,,,1808
201502,ABT,NB,2015/2/2,1,7 AM,07,1556,436,455,2447
201502,LTL,WB,,,N.A.,N.A.,,,,
201502,TKOT,WB,2015/2/12,4,7 AM,07,2592,519,241,3352
201502,KTT,WB,2015/2/28,6,9 AM,09,,,,2511
201502,TSCA,SB,2015/2/9,1,8 AM,08,2788,441,309,3538
201502,TCT,SB,2015/2/10,2,7 AM,07,2461,295,269,3025
201502,TSCA,NB,2015/2/12,4,6 PM,18,2111,364,260,2735
201502,LTL,EB,2015/2/3,2,6 PM,18,2982,629,455,4066
201502,TKOT,EB,2015/2/17,2,6 PM,18,2711,556,197,3464
201502,CHT,SB,2015/2/4,3,10 PM,22,2621,293,206,3120
201502,TCT,NB,2015/2/11,3,6 PM,18,2320,368,249,2937
201502,TLT,SB,2015/2/13,5,8 AM,08,2244,712,1047,4003
201502,LRT,NB,2015/2/16,1,6 PM,18,2296,426,271,2993
201502,SMT,WB,2015/2/3,2,8 AM,08,1536,480,274,2290
201502,SMT,EB,2015/2/10,2,6 PM,18,1609,403,278,2290
201502,WHC,NB,2015/2/13,5,6 PM,18,3187,753,221,4161
201502,EHC,SB,2015/2/11,3,9 AM,09,2225,749,276,3250
201502,CHT,NB,2015/2/4,3,11 PM,23,2540,277,210,3027
201502,LRT,SB,2015/2/3,2,7 AM,07,2383,377,397,3157
201502,TLT,NB,2015/2/13,5,6 PM,18,1689,509,622,2820
201502,EHC,NB,2015/2/12,4,6 PM,18,2515,487,185,3187
201502,ABT,SB,2015/2/13,5,7 AM,07,1521,416,483,2420
201502,WHC,SB,2015/2/9,1,8 AM,08,2763,654,419,3836
201503,ABT,NB,2015/3/17,2,7 AM,07,1695,367,385,2447
201503,TSCA,NB,2015/3/25,3,6 PM,18,2291,371,243,2905
201503,LRT,NB,2015/3/10,2,6 PM,18,2397,319,296,3012
201503,CHT,NB,2015/3/9,1,10 PM,22,2540,302,187,3029
201503,KTT,EB,2015/3/19,4,9 AM,09,,,,1831
201503,ABT,SB,2015/3/26,4,7 AM,07,1575,422,453,2450
201503,TLT,SB,2015/3/26,4,8 AM,08,2259,774,1014,4047
201503,TSCA,SB,2015/3/24,2,8 AM,08,2774,466,335,3575
201503,LTL,EB,2015/3/6,5,6 PM,18,2795,591,332,3718
201503,KTT,WB,2015/3/28,6,9 AM,09,,,,2499
201503,EHC,SB,2015/3/26,4,9 AM,09,2212,752,292,3256
201503,TLT,NB,2015/3/27,5,6 PM,18,1562,494,590,2646
201503,SMT,EB,2015/3/23,1,6 PM,18,1454,461,278,2193
201503,TCT,SB,2015/3/25,3,7 AM,07,2469,303,266,3038
201503,TKOT,WB,2015/3/24,2,7 AM,07,2564,506,249,3319
201503,SMT,WB,2015/3/16,1,8 AM,08,1552,438,278,2268
201503,WHC,NB,2015/3/20,5,6 PM,18,2859,634,218,3711
201503,TCT,NB,2015/3/30,1,6 PM,18,2286,330,274,2890
201503,EHC,NB,2015/3/3,2,5 PM,17,2284,617,254,3155
201503,CHT,SB,2015/3/29,7,9 AM,09,2231,710,219,3160
201503,TKOT,EB,2015/3/23,1,6 PM,18,2574,662,212,3448
201503,LRT,SB,2015/3/10,2,7 AM,07,2410,426,359,3195
201503,WHC,SB,2015/3/23,1,8 AM,08,2712,670,386,3768
201503,LTL,WB,,,N.A.,N.A.,,,,
201504,KTT,EB,2015/4/20,1,9 AM,09,,,,1837
201504,WHC,SB,2015/4/14,2,8 AM,08,2783,719,426,3928
201504,EHC,NB,2015/4/24,5,6 PM,18,2488,524,168,3180
201504,LTL,WB,,,N.A.,N.A.,,,,
201504,LRT,SB,2015/4/16,4,7 AM,07,2348,428,387,3163
201504,LRT,NB,2015/4/20,1,5 PM,17,1898,669,448,3015
201504,WHC,NB,2015/4/30,4,6 PM,18,2816,718,231,3765
201504,ABT,SB,2015/4/13,1,7 AM,07,1585,399,426,2410
201504,TCT,NB,2015/4/29,3,6 PM,18,2197,419,279,2895
201504,TLT,SB,2015/4/21,2,8 AM,08,2126,647,1021,3794
201504,TSCA,SB,2015/4/20,1,8 AM,08,2802,474,274,3550
201504,TKOT,EB,2015/4/28,2,6 PM,18,2678,518,276,3472
201504,SMT,WB,2015/4/15,3,8 AM,08,2035,689,493,3217
201504,TLT,NB,2015/4/24,5,7 PM,19,1888,517,521,2926
201504,TSCA,NB,2015/4/28,2,6 PM,18,2113,449,199,2761
201504,CHT,SB,2015/4/3,5,9 AM,09,1890,942,338,3170
201504,CHT,NB,2015/4/20,1,10 PM,22,2542,316,186,3044
201504,TCT,SB,2015/4/15,3,7 AM,07,2495,298,270,3063
201504,LTL,EB,2015/4/30,4,6 PM,18,2804,563,390,3757
201504,KTT,WB,2015/4/18,6,9 AM,09,,,,2506
201504,SMT,EB,2015/4/15,3,8 AM,08,1739,617,336,2692
201504,TKOT,WB,2015/4/28,2,7 AM,07,2514,537,233,3284
201504,EHC,SB,2015/4/24,5,10 AM,10,2176,762,331,3269
201504,ABT,NB,2015/4/15,3,7 AM,07,1593,417,386,2396
201505,TSCA,SB,2015/5/20,3,8 AM,08,2684,491,344,3519
201505,LRT,NB,2015/5/4,1,6 PM,18,2278,440,263,2981
201505,LRT,SB,2015/5/4,1,7 AM,07,2341,393,380,3114
201505,WHC,SB,2015/5/11,1,8 AM,08,2791,599,399,3789
201505,TCT,SB,2015/5/11,1,7 AM,07,2495,280,233,3008
201505,LTL,EB,2015/5/15,5,6 PM,18,2574,522,353,3449
201505,CHT,NB,2015/5/19,2,1 PM,13,1563,1053,438,3054
201505,CHT,SB,2015/5/15,5,11 PM,23,2627,268,187,3082
201505,TSCA,NB,2015/5/27,3,6 PM,18,2225,341,266,2832
201505,TLT,SB,2015/5/19,2,8 AM,08,2023,671,1045,3739
201505,KTT,WB,2015/5/30,6,9 AM,09,,,,2506
201505,KTT,EB,2015/5/11,1,9 AM,09,,,,1846
201505,EHC,NB,2015/5/8,5,6 PM,18,2448,451,222,3121
201505,ABT,NB,2015/5/4,1,7 AM,07,1723,323,349,2395
201505,SMT,EB,2015/5/15,5,6 PM,18,1533,409,236,2178
201505,WHC,NB,2015/5/15,5,6 PM,18,3008,653,230,3891
201505,EHC,SB,2015/5/12,2,9 AM,09,2097,774,309,3180
201505,SMT,WB,2015/5/15,5,8 AM,08,1533,436,318,2287
201505,LTL,WB,,,N.A.,N.A.,,,,
201505,TKOT,WB,2015/5/15,5,7 AM,07,2508,577,215,3300
201505,TKOT,EB,2015/5/4,1,6 PM,18,2681,544,239,3464
201505,TLT,NB,2015/5/18,1,7 PM,19,1942,529,468,2939
201505,TCT,NB,2015/5/15,5,6 PM,18,2260,380,267,2907
201505,ABT,SB,2015/5/4,1,7 AM,07,1690,308,420,2418
201506,TLT,NB,2015/6/5,5,6 PM,18,1618,470,565,2653
201506,TLT,SB,2015/6/8,1,8 AM,08,2282,684,926,3892
201506,SMT,EB,2015/6/3,3,6 PM,18,1546,381,259,2186
201506,KTT,WB,2015/6/27,6,9 AM,09,,,,2470
201506,EHC,NB,2015/6/4,4,6 PM,18,2495,460,211,3166
201506,WHC,NB,2015/6/12,5,6 PM,18,3024,655,228,3907
201506,TKOT,EB,2015/6/4,4,6 PM,18,2608,547,271,3426
201506,LTL,EB,2015/6/26,5,6 PM,18,2708,513,372,3593
201506,TSCA,NB,2015/6/22,1,6 PM,18,2161,376,240,2777
201506,LRT,NB,2015/6/18,4,6 PM,18,2139,562,298,2999
201506,SMT,WB,2015/6/1,1,8 AM,08,1546,398,263,2207
201506,LTL,WB,,,N.A.,N.A.,,,,
201506,TKOT,WB,2015/6/10,3,7 AM,07,2502,536,239,3277
201506,TCT,SB,2015/6/1,1,7 AM,07,2495,299,235,3029
201506,EHC,SB,2015/6/12,5,10 AM,10,2083,796,288,3167
201506,KTT,EB,2015/6/15,1,9 AM,09,,,,1821
201506,WHC,SB,2015/6/1,1,8 AM,08,2816,629,408,3853
201506,TCT,NB,2015/6/3,3,6 PM,18,2296,360,267,2923
201506,ABT,NB,2015/6/9,2,7 AM,07,1602,394,362,2358
201506,LRT,SB,2015/6/3,3,7 AM,07,2303,381,402,3086
201506,CHT,SB,2015/6/12,5,11 PM,23,2621,278,172,3071
201506,ABT,SB,2015/6/22,1,10 AM,10,1656,414,384,2454
201506,TSCA,SB,2015/6/2,2,8 AM,08,2663,464,326,3453
201506,CHT,NB,2015/6/29,1,1 PM,13,1422,1083,497,3002
201507,CHT,SB,2015/7/29,3,10 PM,22,2571,278,219,3068
201507,TCT,NB,2015/7/8,3,6 PM,18,2174,350,258,2782
201507,TKOT,WB,2015/7/16,4,8 AM,08,2429,487,291,3207
201507,WHC,SB,2015/7/6,1,8 AM,08,2564,613,395,3572
201507,TLT,SB,2015/7/3,5,8 AM,08,2213,695,1022,3930
201507,KTT,WB,2015/7/25,6,9 AM,09,,,,2420
201507,EHC,SB,2015/7/17,5,9 AM,09,2142,740,279,3161
201507,EHC,NB,2015/7/17,5,6 PM,18,2493,453,186,3132
201507,TLT,NB,2015/7/9,4,5 PM,17,2537,667,478,3682
201507,LRT,SB,2015/7/17,5,6 PM,18,2286,528,277,3091
201507,LTL,EB,2015/7/24,5,6 PM,18,2782,524,379,3685
201507,LTL,WB,,,N.A.,N.A.,,,,
201507,WHC,NB,2015/7/9,4,4 PM,16,2890,789,256,3935
201507,TCT,SB,2015/7/27,1,8 AM,08,2213,364,362,2939
201507,ABT,NB,2015/7/2,4,7 AM,07,1410,335,321,2066
201507,SMT,EB,2015/7/9,4,4 PM,16,1591,468,297,2356
201507,SMT,WB,2015/7/13,1,8 AM,08,1491,420,296,2207
201507,KTT,EB,2015/7/20,1,9 AM,09,,,,1824
201507,TSCA,NB,2015/7/9,4,5 PM,17,2731,456,208,3395
201507,TKOT,EB,2015/7/9,4,4 PM,16,2541,557,316,3414
201507,TSCA,SB,2015/7/10,5,8 AM,08,2624,398,357,3379
201507,CHT,NB,2015/7/31,5,10 PM,22,2494,320,173,2987
201507,LRT,NB,2015/7/17,5,6 PM,18,2369,321,305,2995
201507,ABT,SB,2015/7/3,5,10 AM,10,1345,555,508,2408
201508,TKOT,EB,2015/8/24,1,7 PM,19,2614,545,230,3389
201508,ABT,NB,2015/8/28,5,7 AM,07,1478,377,382,2237
201508,LTL,EB,2015/8/7,5,6 PM,18,2729,573,371,3673
201508,KTT,WB,2015/8/29,6,9 AM,09,,,,2494
201508,TLT,SB,2015/8/11,2,8 AM,08,2336,800,1073,4209
201508,TCT,NB,2015/8/17,1,6 PM,18,2255,352,243,2850
201508,SMT,EB,2015/8/24,1,8 AM,08,1564,397,266,2227
201508,SMT,WB,2015/8/27,4,8 AM,08,1547,421,313,2281
201508,EHC,NB,2015/8/25,2,6 PM,18,2499,444,191,3134
201508,CHT,SB,2015/8/1,6,10 AM,10,1748,1013,408,3169
201508,WHC,SB,2015/8/31,1,8 AM,08,2771,630,426,3827
201508,TKOT,WB,2015/8/27,4,8 AM,08,2416,501,316,3233
201508,CHT,NB,2015/8/20,4,11 PM,23,2499,297,197,2993
201508,TSCA,NB,2015/8/24,1,6 PM,18,2207,370,224,2801
201508,LRT,NB,2015/8/3,1,6 PM,18,2200,471,277,2948
201508,EHC,SB,2015/8/5,3,8 AM,08,2411,414,358,3183
201508,TSCA,SB,2015/8/26,3,8 AM,08,2643,442,394,3479
201508,LRT,SB,2015/8/7,5,6 PM,18,2261,546,231,3038
201508,TLT,NB,2015/8/21,5,7 PM,19,2139,632,540,3311
201508,WHC,NB,2015/8/21,5,6 PM,18,2949,671,208,3828
201508,LTL,WB,,,N.A.,N.A.,,,,
201508,KTT,EB,2015/8/24,1,9 AM,09,,,,1839
201508,TCT,SB,2015/8/6,4,8 AM,08,2213,376,385,2974
201508,ABT,SB,2015/8/22,6,10 AM,10,1642,315,392,2349
201509,CHT,SB,2015/9/11,5,11 PM,23,2691,269,176,3136
201509,WHC,NB,2015/9/25,5,6 PM,18,3145,720,218,4083
201509,TCT,NB,2015/9/16,3,6 PM,18,2294,381,257,2932
201509,ABT,NB,2015/9/2,3,7 AM,07,1839,390,225,2454
201509,LRT,SB,2015/9/18,5,7 AM,07,2418,379,364,3161
201509,EHC,SB,2015/9/18,5,6 PM,18,2713,334,143,3190
201509,KTT,WB,2015/9/12,6,9 AM,09,,,,2493
201509,TLT,SB,2015/9/16,3,8 AM,08,2204,725,1022,3951
201509,SMT,WB,2015/9/23,3,8 AM,08,1483,495,312,2290
201509,TLT,NB,2015/9/15,2,7 PM,19,1924,565,607,3096
201509,TSCA,NB,2015/9/25,5,6 PM,18,2333,421,294,3048
201509,KTT,EB,2015/9/7,1,9 AM,09,,,,1846
201509,EHC,NB,2015/9/17,4,6 PM,18,2519,447,189,3155
201509,SMT,EB,2015/9/2,3,6 PM,18,1532,399,280,2211
